ID,Connectedness
2382,0.1920863084270812
2469,0.18603311370446482
2426,0.1934017994850888
2201,0.14339971313036687
2255,0.18221659621564332
2424,0.18620342570801124
1742,0.20543726966938206
1801,0.1665772731684939
2306,0.1946831721975985
2345,0.22644764874808881
910,0.1723289042877053
1962,0.19449318366765544
1793,0.16964121145965128
1939,0.19426575657377496
1704,0.20189774243142744
2096,0.17953961018051337
2377,0.1937338608797425
1878,0.21662626732745846
1151,0.21176317530364228
231,0.17641738472629534
2373,0.17679905777239535
930,0.1648699540924366
868,0.24398290926564228
2431,0.17424175924720964
2336,0.1876746209222995
2348,0.17960884275309885
2380,0.2079949510238656
2107,0.1896259059171415
1843,0.18364227688971185
2423,0.20237301351442027
1708,0.215319541992091
1003,0.22531535507141878
2097,0.19593192987689276
2410,0.19100599420299783
2122,0.18820502282157037
2386,0.18663304039764275
1889,0.22166198789315616
2397,0.1951979789694613
2332,0.23517762041091633
1501,0.1993796975933587
887,0.17032120023778943
2126,0.19031292857487553
1839,0.21273253442943316
1177,0.20527690615766828
1756,0.1921679693269301
2399,0.17681198807419024
2430,0.19976915560839276
2047,0.19536157357651576
91,0.18366650197306844
1807,0.19136749512901444
2436,0.19892549303085627
2154,0.1817279325024073
1811,0.22141298183039576
997,0.1810669873544405
2406,0.20812051984940363
2190,0.19687500794779764
1895,0.1660035134913032
2319,0.20186836795141302
588,0.22113488079404753
2370,0.19774457682972785
2395,0.1838275444277744
850,0.17621206451979776
2074,0.19935484941156595
2145,0.2083063767765577
2374,0.18533759195639127
344,0.19032623662847997
2004,0.1948717350261528
1853,0.11461404989667157
2169,0.1842004168248283
1864,0.1954404087831809
2389,0.18914108574393187
2115,0.19161568942089371
2388,0.17541386436450854
2261,0.18891557521040456
2263,0.206268695589413
2341,0.20261261674480097
2422,0.15802887462080148
2437,0.16543528198858024
2456,0.19537172167891692
1724,0.1850722636214282
2420,0.1926691656676466
635,0.2070808958064272
2270,0.1514625211872917
2453,0.19887088758711183
2329,0.14851863008305782
2323,0.2106903322153644
616,0.18711372833448156
511,0.20092123092846637
2314,0.20635075755239823
2318,0.2122130671998829
2317,0.15883230113508953
2151,0.16158300852925053
2407,0.18400024374755347
2321,0.17964516270415565
1915,0.18521429077706214
1942,0.1850913399870908
2159,0.17205200344254423
2262,0.20289013767331088
1970,0.1851083676580026
688,0.14893427512360463
1757,0.1867832408704946
1510,0.18954664018515935
303,0.16350286870141634
2362,0.14942054513842473
